paper_id	venue	authors	year	title	index_keys	author_keys	abstract
80CE4891	Neural Information Processing Systems	simon lacostejulien + michael i jordan + ben taskar	2006	Structured Prediction via the Extragradient Method	linear convergence + 3d imaging + quadratic program		"
We present a simple and scalable algorithm for large-margin estimation of structured models, including an important class of Markov networks and combinatorial models. The estimation problem can be formulated as a quadratic program (QP) that exploits the problem structure to achieve polynomial number of variables and constraints. However, off-the-shelf QP solvers scale poorly with problem and training sample size. We recast the formulation as a convex-concave saddle point problem that allows us to use simple projection methods. We show the projection step can be solved using combinatorial algorithms for min-cost convex flow. We provide linear convergence guarantees for our method and present experiments on two very different structured prediction tasks: 3D image segmentation and word alignment, illustrating the favorable scaling properties of our algorithm.
"
7D3C0C9B	Neural Information Processing Systems	kristen grauman + trevor darrell	2006	Approximate Correspondences in High Dimensions	object recognition +  + feature space + feature vector + linear time		"
Pyramid intersection is an efficient method for computing an approximate partial matching between two sets of feature vectors. We introduce a novel pyramid embedding based on a hierarchy of non-uniformly shaped bins that takes advantage of the underlying structure of the feature space and remains accurate even for sets with high-dimensional feature vectors. The matching similarity is computed in linear time and forms a Mercer kernel. Whereas previous matching approximation algorithms suffer from distortion factors that increase linearly with the feature dimension, we demonstrate that our approach can maintain constant accuracy even as the feature dimension increases. When used as a kernel in a discriminative classifier, our approach achieves improved object recognition results over a state-of-the-art set kernel.
"
7EE4C99C	Neural Information Processing Systems	hagai attias + kensuke sekihara + kenneth e hild + srikantan s nagarajan	2006	Stimulus Evoked Independent Factor Analysis of MEG Data with Large Background Activity	em algorithm		"
This paper presents a novel technique for analyzing electromagnetic imaging data obtained using the stimulus evoked experimental paradigm. The technique is based on a probabilistic graphical model, which describes the data in terms of underlying evoked and interference sources, and explicitly models the stimulus evoked paradigm. A variational Bayesian EM algorithm infers the model from data, suppresses interference sources, and reconstructs the activity of separated individual brain sources. The new algorithm outperforms existing techniques on two real datasets, as well as on simulated data.
"
8176CE33	Neural Information Processing Systems	john skilling + david j c mackay + zoubin ghahramani + iain murray	2006	Nested sampling for Potts models	graphical model + potts model + monte carlo method		"
Nested sampling is a new Monte Carlo method by Skilling [1] intended for general Bayesian computation. Nested sampling provides a robust alternative to annealing-based methods for computing normalizing constants. It can also generate estimates of other quantities such as posterior expectations. The key technical requirement is an ability to draw samples uniformly from the prior subject to a constraint on the likelihood. We provide a demonstration with the Potts model, an undirected graphical model.
"
811CDA39	Neural Information Processing Systems	rie kubota ando + tong zhang	2006	Analysis of Spectral Kernel Design based Semi-supervised Learning	spectral decomposition + semi supervised learning		"
We consider a framework for semi-supervised learning using spectral decomposition based un-supervised kernel design. This approach subsumes a class of previously proposed semi-supervised learning methods on data graphs. We examine various theoretical properties of such methods. In particular, we derive a generalization performance bound, and obtain the optimal kernel design by minimizing the bound. Based on the theoretical analysis, we are able to demonstrate why spectral kernel design based methods can often improve the predictive performance. Experiments are used to illustrate the main consequences of our analysis.
"
8043E6B1	Neural Information Processing Systems	brendan j frey + delbert dueck	2006	Mixture Modeling by Affinity Propagation	sufficient statistic +  + belief propagation + mixture model + likelihood function + machine learning + mixture of gaussians + spectral method + graphical model + hierarchical clustering + affinity propagation + spectral clustering + gene expression		"
Clustering is a fundamental problem in machine learning and has been approached in many ways. Two general and quite different approaches include iteratively fitting a mixture model (e.g., using EM) and linking together pairs of training cases that have high affinity (e.g., using spectral methods). Pair-wise clustering algorithms need not compute sufficient statistics and avoid poor solutions by directly placing similar examples in the same cluster. However, many applications require that each cluster of data be accurately described by a prototype or model, so affinity-based clustering - and its benefits - cannot be directly realized. We describe a technique called “affinity propagation”, which combines the advantages of both approaches. The method learns a mixture model of the data by recursively propagating affinity messages. We demonstrate affinity propagation on the problems of clustering image patches for image segmentation and learning mixtures of gene expression models from microarray data. We find that affinity propagation obtains better solutions than mixtures of Gaussians, the K-medoids algorithm, spectral clustering and hierarchical clustering, and is both able to find a pre-specified number of clusters and is able to automatically determine the number of clusters. Interestingly, affinity propagation can be viewed as belief propagation in a graphical model that accounts for pairwise training case likelihood functions and the identification of cluster centers.
"
7DC3356F	Neural Information Processing Systems	james diebel + sebastian thrun	2006	An Application of Markov Random Fields to Range Sensing	high resolution + low resolution		"
This paper describes a highly successful application of MRFs to the problem of generating high-resolution range images. A new generation of range sensors combines the capture of low-resolution range images with the acquisition of registered high-resolution camera images. The MRF in this paper exploits the fact that discontinuities in range and coloring tend to co-align. This enables it to generate high-resolution, low-noise range images by integrating regular camera images into the range data. We show that by using such an MRF, we can substantially improve over existing range imaging technology.
"
810F562D	Neural Information Processing Systems	nicolas usunier + pascal germain + mario marchand + alexandre lacasse + francois laviolette	2006	PAC-Bayes Bounds for the Risk of the Majority Vote and the Variance of the Gibbs Classifier	majority voting		"
We propose new PAC-Bayes bounds for the risk of the weighted majority vote that depend on the mean and variance of the error of its associated Gibbs classifier. We show that these bounds can be smaller than the risk of the Gibbs classifier and can be arbitrarily close to zero even if the risk of the Gibbs classifier is close to 1/2. Moreover, we show that these bounds can be uniformly estimated on the training data for all possible posteriors Q. Moreover, they can be improved by using a large sample of unlabelled data.
"
8153C095	Neural Information Processing Systems	s s keerthi + wei chu	2006	A matching pursuit approach to sparse Gaussian process regression	information gain +  + regression model + predictive distribution + gaussian process regression + matching pursuit		"
In this paper we propose a new basis selection criterion for building sparse GP regression models that provides promising gains in accuracy as well as efficiency over previous methods. Our algorithm is much faster than that of Smola and Bartlett, while, in generalization it greatly outperforms the information gain approach proposed by Seeger et al, especially on the quality of predictive distributions.
"
7D248135	Neural Information Processing Systems	sumio watanabe + kazuho watanabe	2006	Variational Bayesian Stochastic Complexity of Mixture Models	mixture model + bayesian learning + marginal likelihood + exponential family + model selection + lower bound		"
The Variational Bayesian framework has been widely used to approximate the Bayesian learning. In various applications, it has provided computational tractability and good generalization performance. In this paper, we discuss the Variational Bayesian learning of the mixture of exponential families and provide some additional theoretical support by deriving the asymptotic form of the stochastic complexity. The stochastic complexity, which corresponds to the minimum free energy and a lower bound of the marginal likelihood, is a key quantity for model selection. It also enables us to discuss the effect of hyperparameters and the accuracy of the Variational Bayesian approach as an approximation of the true Bayesian learning.
"
