paper_id	venue	authors	year	title	index_keys	author_keys	abstract
7D117592	Knowledge Discovery and Data Mining	usama fayyad + paul s bradley + cheng yang	2001	Efficient discovery of error-tolerant frequent itemsets in high dimensions	 + Decision support systems + collaborative filtering + sparse data + Retrieval tasks and goals + data mining + Information systems applications + Clustering and classification + Information retrieval + Data analytics + web browsing + Data mining + Clustering + Mathematics and statistics + Information systems + Physical sciences and engineering + Applied computing + transaction data + high dimensional data + clustering	Error-tolerant frequent itemset + clustering + high dimensions + query selectivity estimation + collaborative filtering	We present a generalization of frequent itemsets allowing for the notion of errors in the itemset definition. We motivate the problem and present an efficient algorithm that identifies error-tolerant frequent clusters of items in transactional data (customer-purchase data, web browsing data, text, etc.). The algorithm exploits sparseness of the underlying data to find large groups of items that are correlated over database records (rows). The notion of transaction coverage allows us to extend the algorithm and view it as a fast clustering algorithm for discovering segments of similar transactions in binary sparse data. We evaluate the new algorithm on three real-world applications: clustering high-dimensional data, query selectivity estimation and collaborative filtering. Results show that the algorithm consistently uncovers structure in large sparse databases that other traditional clustering algorithms fail to find.
779B84A1	Knowledge Discovery and Data Mining	pavel berkhin + jonathan d beche + dee jay randall	2001	Interactive path analysis of web site traffic	path analysis +  + linear regression + Web applications + Paths and connectivity problems + World Wide Web + Graph theory + Information systems + Web services + decision trees + noise reduction + Discrete mathematics + Graph algorithms + Mathematics of computing + logistic regression + feature selection	No keyword found	The goal of Path Analysis is to understand visitors' navigation of a Web site. The fundamental analysis component is a path. A path is a finite sequence of elements, typically representing URLs or groups of URLs. A full path is an abstraction of a visit or a session, which can contain attributes described below. Subpaths represent interesting subsequences of the full paths.Path Analysis provides user-configurable extraction, filtering, preprocessing, noise reduction, descriptive statistics and detailed analysis of three basic specific objects: elements, (sub)paths, and couples of elements. In each case, lists of frequent objects --- subject to particular filtering and sorting --- are available. We call the corresponding interactive tools Element, Path, and Couple Analyzers.We also allow in-depth exploration of individual elements, paths, and couples: Element Explorer investigates composition and convergence of traffic through an element and allows conditioning based on the number of preceding/succeeding steps. Path Explorer visualizes in and out flows of a path and attrition rate along the path. Couple Explorer presents distinct paths connecting couple elements, along with measures of their association and some additional statistics.
79F12BAC	Knowledge Discovery and Data Mining	bernhard seeger + jenspeter dittrich	2001	GESS: a scalable similarity-join algorithm for mining large data sets in high dimensional spaces	 + Cluster analysis + em algorithm + feature space + Learning paradigms + Information systems applications + Computing methodologies + principal component + Data mining + Unsupervised learning + Information systems + transaction data + high dimensional data + data replication + Machine learning + mixture models	No keyword found	The similarity join is an important operation for mining high-dimensional feature spaces. Given two data sets, the similarity join computes all tuples (x, y) that are within a distance &egr;.One of the most efficient algorithms for processing similarity-joins is the Multidimensional-Spatial Join (MSJ) by Koudas and Sevcik. In our previous work --- pursued for the two-dimensional case --- we found however that MSJ has several performance shortcomings in terms of CPU and I/O cost as well as memory-requirements. Therefore, MSJ is not generally applicable to high-dimensional data.In this paper, we propose a new algorithm named Generic External Space Sweep (GESS). GESS introduces a modest rate of data replication to reduce the number of expensive distance computations. We present a new cost-model for replication, an I/O model, and an inexpensive method for duplicate removal. The principal component of our algorithm is a highly flexible replication engine.Our analytical model predicts a tremendous reduction of the number of expensive distance computations by several orders of magnitude in comparison to MSJ (factor 107). In addition, the memory requirements of GESS are shown to be lower by several orders of magnitude. Furthermore, the I/O cost of our algorithm is by factor 2 better (independent from the fact whether replication occurs or not). Our analytical results are confirmed by a large series of simulations and experiments with synthetic and real high-dimensional data sets.
7A373959	Knowledge Discovery and Data Mining	jiawei han + wen jin + anthony k h tung	2001	Mining top-n local outliers in large databases	 + data mining + Information systems applications + Data mining + outlier detection + Nonparametric statistics + Information systems + nearest neighbor search + log likelihood + clustering + Probability and statistics + Mathematics of computing + cutting plane + Distribution functions	No keyword found	"Outlier detection is an important task in data mining with numerous applications, including credit card fraud detection, video surveillance, etc. A recent work on outlier detection has introduced a novel notion of local outlier in which the degree to which an object is outlying is dependent on the density of its local neighborhood, and each object can be assigned a Local Outlier Factor (LOF) which represents the likelihood of that object being an outlier. Although the concept of local outliers is a useful one, the computation of LOF values for every data objects requires a large number of &kgr;-nearest neighbors searches and can be computationally expensive. Since most objects are usually not outliers, it is useful to provide users with the option of finding only n most outstanding local outliers, i.e., the top-n data objects which are most likely to be local outliers according to their LOFs. However, if the pruning is not done carefully, finding top-n outliers could result in the same amount of computation as finding LOF for all objects. In this paper, we propose a novel method to efficiently find the top-n local outliers in large databases. The concept of ""micro-cluster"" is introduced to compress the data. An efficient micro-cluster-based local outlier mining algorithm is designed based on this concept. As our algorithm can be adversely affected by the overlapping in the micro-clusters, we proposed a meaningful cut-plane solution for overlapping data. The formal analysis and experiments show that this method can achieve good performance in finding the most outstanding local outliers."
778ADF35	Knowledge Discovery and Data Mining	agma j m traina + caetano traina + christos faloutsos + spiros papadimitriou	2001	Tri-plots: scalable tools for multidimensional data mining	 + Visualization + Life and medical sciences + data mining + information retrieval + data processing + patterns + Information systems applications + Human-centered computing + knowledge discovery + classification + Data mining + parallel processing + Visualization application domains + feature vector + Information systems + Geographic visualization + Applied computing + Spatial-temporal systems + Consumer health + scaling factor + Health informatics	No keyword found	We focus on the problem of finding patterns across two large, multidimensional datasets. For example, given feature vectors of healthy and of non-healthy patients, we want to answer the following questions: Are the two clouds of points separable? What is the smallest/largest pair-wise distance across the two datasets? Which of the two clouds does a new point (feature vector) come from?We propose a new tool, the tri-plot, and its generalization, the pq-plot, which help us answer the above questions. We provide a set of rules on how to interpret a tri-plot, and we apply these rules on synthetic and real datasets. We also show how to use our tool for classification, when traditional methods (nearest neighbor, classification trees) may fail.
6D25DF12	Knowledge Discovery and Data Mining	shuching chen + chengcui zhang + jeff strickrott + meiling shyu	2001	Multimedia Data Mining for Traffic Video Sequences	object tracking + background subtraction + data processing + traffic flow	Multimedia data mining + spatiotemporal relationships + multimedia augmented transition network (MATN) + object tracking	"
In this paper, a multimedia data mining framework for discovering important but previously unknown knowledge such as vehicle identification, traffic flow, and the spatio-temporal relations of the vehicles at the intersections from traffic video sequences is proposed. The proposed multimedia data mining framework analyzes the traffic video sequences by using background subtraction, image/video segmentation, object tracking, and modeling with multimedia augmented transition network (MATN) model and multimedia input strings, in the domain of traffic monitoring over an intersection. The spatio-temporal relationships of the vehicle objects in each frame are discovered and accurately captured and modeled. Such an additional level of sophistication enabled by the proposed multimedia data-mining framework in terms of spatio-temporal tracking generates a capability for automation. This capability alone can significantly influence and enhance current data processing and implementation strategies for several problems vis-à-vis traffic operations. A real-life traffic video sequence is used to illustrate the effectiveness of the proposed multimedia data mining framework.
"
75B3A900	Knowledge Discovery and Data Mining	heikki mannila + padhraic smyth + igor v cadez	2001	Probabilistic modeling of transaction data with applications to profiling, visualization, and prediction	 + association rule + em algorithm + Simulation types and techniques + Information systems applications + Computing methodologies + mixture model + Data mining + Electronic commerce + outlier detection + probabilistic model + Information systems + Applied computing + Modeling and simulation + transaction data + interactive visualization + mixture models	+mixture models+profiles+transaction data	"Transaction data is ubiquitous in data mining applications. Examples include market basket data in retail commerce, telephone call records in telecommunications, and Web logs of individual page-requests at Web sites. Profiling consists of using historical transaction data on individuals to construct a model of each individual's behavior. Simple profiling techniques such as histograms do not generalize well from sparse transaction data. In this paper we investigate the application of probabilistic mixture models to automatically generate profiles from large volumes of transaction data. In effect, the mixture model represents each individual's behavior as a linear combination of ""basis transactions."" We evaluate several variations of the model on a large retail transaction data set and show that the proposed model provides improved predictive power over simpler histogram-based techniques, as well as being relatively scalable, interpretable, and flexible. In addition we point to applications in outlier detection, customer ranking, interactive visualization, and so forth. The paper concludes by comparing and relating the proposed framework to other transaction-data modeling techniques such as association rules."
781CA345	Knowledge Discovery and Data Mining	j neal richter + stephen d durbin + bikramjit banerjee + doug warner	2001	Mining user session data to facilitate user interaction with a customer service knowledge base in RightNow Web	knowledge base +  + collaborative filtering + Collaborative and social computing systems and tools + Collaborative and social computing + Distributed artificial intelligence + Information systems applications + Computing methodologies + Human-centered computing + World Wide Web + Information systems + clustering + Artificial intelligence + swarm intelligence + multi agent system	+Categories and Subject Descriptors H.2.8 [Database Applications+Data Mining+H.3.5 [Onl ine Information Services+1.2.11 [Distributed Artificial Intelligence+Intelligent agents+1.2.11 [Distributed Ar- tificial Intel l igence+Multiagent systems General Terms Human Factors+Algorithms Keywords User session+user data+self-help+customer service+multi- agent system	"RightNow Web is an integrated software package for web-based customer service that has, at its core, a database of answers to frequently asked questions (FAQs). One major design goal is to facilitate end-user interaction with this dynamic document collection, i.e. make it as easy and efficient as possible for users to browse the collection and locate desired information. To this end, we perform several types of analysis on the session tracking database that records user navigation histories. First, using both explicit and implicit measures of user satisfaction, we infer a ""solved count"" representing the average utility of an FAQ. Second, using the user navigation patterns we construct a link matrix representing connections between FAQs. The technique of building up the link matrix and using it to advise users on related information amounts to a form of the ""swarm intelligence"" method of finding optimal paths. Both solved count and the link matrix are continuously updated as users interact with the site; furthermore, they are periodically ""aged"" to emphasize recent activity. The synergistic combination of these techniques allows users to learn from the database in a more effective manner, as evidenced by usage statistics."
5919C2D7	Knowledge Discovery and Data Mining	mukkai s krishnamoorthy + mohammed j zaki + john r punin	2001	LOGML: Log Markup Language for Web Usage Mining	 + web usage mining + complex structure + web accessibility + data cleaning + markup language		"
Web Usage Mining refers to the discovery of interesting information from user navigational behavior as stored in web access logs. While extracting simple information from web logs is easy, mining complex structural information is very challenging. Data cleaning and preparation constitute a very significant effort before mining can even be applied. We propose two new XML applications, XGMML and LOGML to help us in this task. XGMML is a graph description language and LOGML is a web-log report description language. We generate a web graph in XGMML format for a web site using the web robot of the WWWPal system. We generate web-log reports in LOGML format for a web site from web log files and the web graph. We further illustrate the usefulness of LOGML in web usage mining; we show the simplicity with which mining algorithms (for extracting increasingly complex frequent patterns) can be specified and implemented efficiently using LOGML.
"
7525DF47	Knowledge Discovery and Data Mining	hang li + kenji yamanishi	2001	Mining from open answers in questionnaire data	 + Triggers and rules + association rule + survey data + correspondence analysis + association rules + Information systems applications + Data mining + customer relationship management + Information systems + Database management system engines + brand image + Data management systems + text mining	+Survey+Questionnaire Data+Open Question+Classification Rules+Association Rules+Correspondence Analysis 1. ANALYSIS OF OPEN ANSWERS	Surveys are an important part of marketing and customer relationship management, and open answers (i.e., answers to open questions) in particular may contain valuable information and provide an important basis for making business decisions. We have developed a text mining system that provides a new way for analyzing open answers in questionnaire data. The product is able to perform the following two functions: (A) accurate extraction of characteristics for individual analysis targets, (B) accurate extraction of the relationships among characteristics of analysis targets. In this paper, we describe the working of our text mining system. It employs two statistical learning techniques: rule analysis and Correspondence Analysis for performing the two functions. Our text mining system has already been put into use by a number of large corporations in Japan in the performance of text mining on various types of survey data, including open answers about brand images, open answers about company images, complaints about products, comments written on home pages, business reports, and help desk records. In this it has been found to be useful in forming a basis for effective business decisions.
