paper_index	authors	title
7EF03283	michael l littman + alexander l strehl + lihong li + john langford + eric wiewiora	PAC model-free reinforcement learning
80DDCBDF	misha tsodyks + henry markram + yun wang	Differential signaling via the same axon of neocortical pyramidal neurons
7B949A51	kathy ryall + brad andalman + wheeler ruml + j seims + jessica k hodgins + taesam kang + stuart m shieber + william t freeman + paul beardsley + hanspeter pfister + joe marks + brian mirtich + sarah gibson	Design galleries: a general approach to setting parameters for computer graphics and animation
030CB4CE	e w lang + andreas jung + fabian j theis + carlos garc a puntonet	Signal recovery from partial information via orthogonal matching pursuit
0234761B	julie d thompson + frederic plewniak + olivier poch	BAliBASE: A benchmark alignments database for the evaluation of multiple sequence alignment programs
7E14FE5E	david j c mackay	Information-based objective functions for active data selection
7D3DED01	david yarowsky	Unsupervised word sense disambiguation rivaling supervised methods
804F0EF8	jonathan d victor	Spike train metrics
7D0DCE29	elizaveta levina + peter j bickel	Covariance regularization by thresholding
562EBCA3	md altafulamine + toshihiro korna + taku oshima + teppei miyasato + kensaku nishikata + shigehiko kanaya + chieko wada + yoko shinbo + hirotada mori + md arifuzzaman + maki maeda	Prediction of Protein Functions Based on K-Cores of Protein-Protein Interaction Networks and Amino Acid Sequences
7BC8B8A2	rouhollah rahmani + sally a goldman	MISSL: multiple-instance semi-supervised learning
800FD8B4	volker tresp + kai yu + anton schwaighofer	Learning Gaussian processes from multiple tasks
7D1982CE	joseph turian + benjamin wellington + i d melamed	Scalable Discriminative Learning for Natural Language Parsing and Translation
813E8A28	michael l littman + anthony r cassandra + leslie pack kaelbling	Planning and acting in partially observable stochastic domains
80AA369E	cristian sminchisescu + dimitris metaxas + atul kanaujia + zhiguo li	Discriminative density propagation for 3D human motion estimation
5B3DDD5C	peter schroder + mathieu desbrun + mark meyer + alan h barr	Anisotropic Feature-Preserving Denoising of Height Fields and Bivariate Data
7F5F6D19	stefano fusi + walter senn	Learning Only When Necessary: Better Memories of Correlated Patterns in Networks with Bounded Synapses
7CCC820D	paul m b vitanyi + nick chater	Simplicity: a unifying principle in cognitive science?
81E8FAB3	l r rabiner	A tutorial on hidden Markov models and selected applications in speech recognition
7E6B3448	michael elady + david l donoho	Maximal Sparsity Representation via l 1 Minimization
7F22C203	stephane mallat	A theory for multiresolution signal decomposition: the wavelet representation
7DE53248	florentina bunea + andrew b nobel	Sequential Procedures for Aggregating Arbitrary Estimators of a Conditional Mean
8023ECC1	robert g smith + narender k dhingra	Spike Generator Limits Efficiency of Information Transfer in a Retinal Ganglion Cell
599A4B1F	pierre w ferrez + jose del r millan	You Are Wrong!---Automatic Detection of Interaction Errors from Brain Waves
8091D774	risi kondor + tony jebara	A Kernel between Sets of Vectors
7F0F0092	patrik o hoyer + aapo hyvarinen	A multi-layer sparse coding network learns contour coding from natural images
76BF1D02	jacques dauxois + guy martial nkiet	Nonlinear canonical analysis and independence tests
80F3FF92	sally a goldman + qi zhang	EM-DD: An Improved Multiple-Instance Learning Technique
7D5CF382	shigeru shinomoto + hideaki shimazaki	A Method for Selecting the Bin Size of a Time Histogram
772BD082	william t freeman + alexei a efros	Image quilting for texture synthesis and transfer
5C98060F	er a razborov + alexander a razborov	On provably disjoint NP-pairs
7A57ACD2	bradley efron	The Estimation of Prediction Error: Covariance Penalties and Cross-Validation
7DB3AC7E	axel pinz + andrew zisserman + andreas opelt	A boundary-fragment-model for object detection
7FDE32CE	eero p simoncelli + jonathan w pillow	Dimensionality reduction in neural models: An information-theoretic generalization of spike-triggered average and covariance analysis
805CD994	christopher d manning + dan klein	Corpus-based induction of syntactic structure: models of dependency and constituency
808CE875	partha niyogi + mikhail a belkin	Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering
0843091F	micah adler + david jensen + jennifer neville	Clustering Relational Data Using Attribute and Link Information
7C197227	albert j ahumada	Classification image weights and internal noise level estimation
7E2AD22F	shakhnarovich + darrell + grauman	Inferring 3D structure with a statistical image-based shape model
5893ED43	samy bengio + ronan collobert	SVMTorch: support vector machines for large-scale regression problems
7FC0117C	faraneh varghakhadem + mortimer mishkin + david g gadian	Dissociations in cognitive memory: the syndrome of developmental amnesia.
7C0240DF	luay nakhleh + tandy warnow + donald a ringe	Perfect Phylogenetic Networks: A New Methodology for Reconstructing the Evolutionary History of Natural Languages
24CEE10C	筑波大学大学院システム情報工学研究科コンピュータサイエンス専攻 + 幹雄 山本 + 九月 貞光	Dirichlet mixtures in text modeling
7E73DCBA	sumit roy + john j shynk	The LMS algorithm with momentum updating
7D5382EC	w e l grimson + chris stauffer	Adaptive background mixture models for real-time tracking
80A49059	ankur agarwal + bill triggs	3D human pose from silhouettes by relevance vector regression
5C0023C3	fahiem bacchus + peter van beek + toby walsh + xinguang chen	Binary vs. non-binary constraints
7DC3749E	anita p barbee + perri b druen + alan roberts + michael r cunningham	"""Their ideas of beauty are, on the whole, the same as ours"": Consistency and variability in the cross-cultural perception of female physical attractiveness."
800A3BF6	bhaskar d rao + david wipf	Sparse Bayesian learning for basis selection
7D8D9D16	giacomo indiveri + stefano fusi	Spike-based learning in VLSI networks of integrate-and-fire neurons
753D4638	mikhail a belkin + partha niyogi	Semi-Supervised Learning on Riemannian Manifolds
7905EF43	john i kiger + arnold l glass	Context Effects in Sentence Verification.
772D9D8B	pedro f felzenszwalb + daniel p huttenlocher	Efficient Graph-Based Image Segmentation
75137B46	paul h schultz + william g christie	Why do NASDAQ Market Makers Avoid Odd‐Eighth Quotes?
8045E665	gianluca pollastri + pierre baldi	Prediction of contact maps by GIOHMMs and recurrent neural networks using lateral propagation from all four cardinal corners
76C26281	uros seljak + matias zaldarriaga	A Line of sight integration approach to cosmic microwave background anisotropies
5BD3C2FD	desh ranjan + volker priebe + devdatt p dubhashi	Negative dependence through the FKG Inequality
77C82A09	shimon ullman + michael fink	From Aardvark to Zorro: A Benchmark for Mammal Image Classification
7EB3295E	grzegorz kondrak	Algorithms for language reconstruction
7D138B1E	dimitri p bertsekas	Dynamic Programming and Optimal Control
7D1B6D52	carl edward rasmussen + zoubin ghahramani	Infinite Mixtures of Gaussian Process Experts
78919E9D	charles r baker	Joint measures and cross-covariance operators
7E047248	julian besag	Spatial Interaction and the Statistical Analysis of Lattice Systems
7FFD3268	dana h ballard + mary hayhoe	Eye movements in natural behavior
80DD6819	j j mcdonald + michael j tsatsomeros + roderick edwards	On matrices with common invariant cones with applications in neural and gene networks
7C8D43E2	pietro pietrini + alumit ishai + jennifer l schouten + james v haxby + maura l furey + m ida gobbini	Distributed and Overlapping Representations of Faces and Objects in Ventral Temporal Cortex
80BAE30F	andreas kaltenbrunner + vicente diaz lopez + vicenc gomez	Event modeling of message interchange in stochastic neural ensembles
7F065DFF	harald g wallbott	Bodily expression of emotion
75AE31C7	maxim raginsky	A complexity-regularized quantization approach to nonlinear dimensionality reduction
7F495E5A	ingo mierswa + michael wurst + timm euler + ralf klinkenberg + martin scholz	YALE: rapid prototyping for complex data mining tasks
7DE7F9D7	charles c jorgensen + kevin r wheeler + leonard j trejo + roman rosipal + andrew d hibbs + michael a krupka + samuel t clanton + robert matthews + bryan matthews	Multimodal neuroelectric interface development
797890D9	jonathan d cohen + h printz + david servanschreiber	A network model of catecholamine effects: gain, signal-to-noise ratio, and behavior
7F6E9F45	ralf herbrich + matthias seeger + neil d lawrence	Fast Sparse Gaussian Process Methods: The Informative Vector Machine
80A6821B	matthew t harrison + ioannis kontoyiannis + mokshay madiman	Minimum description length vs. maximum likelihood in lossy data compression
78739CC6	david m blei + michael i jordan	Modeling annotated data
8006534C	olivier chapelle	Training a Support Vector Machine in the Primal
7CF3A6C5	jerome louradour + khalid daoudi + francis bach	Feature Space Mahalanobis Sequence Kernels: Application to SVM Speaker Verification
60DDDB65	linda c van der gaag + uffe kjaerulff	Making Sensitivity Analysis Computationally Efficient
79803706	deborah nolan	The excess-mass ellipsoid
80179848	thorsten joachims + thomas finley	Supervised clustering with support vector machines
80FD3807	kwangmoo koh + stephen boyd + seungjean kim	An Interior-Point Method for Large-Scale '1-Regularized Logistic Regression
7B5D6387	moni naor + kobbi nissim	Communication preserving protocols for secure function evaluation
7B0F3630	david k hammond + eero p simoncelli	Image Denoising with an Orientation-Adaptive Gaussian Scale Mixture Model
7D3FCDC1	carmen guaza + maria loscertales + carmen sandi	Experience-dependent facilitating effect of corticosterone on spatial memory formation in the water maze
7B961E41	antony browne + ron sun	Connectionist inference models
786B4124	keiji kanazawa + thomas dean	A model for reasoning about persistence and causation
6D8AEEFD	xinqiao liu + a el gamal	Simultaneous image formation and motion blur restoration via multiple capture
81052279	bertrand mesot + david g barber	Switching Linear Dynamical Systems for Noise Robust Speech Recognition
756512AF	michael l overton + robert s womersley	Optimality conditions and duality theory for minimizing sums of the largest eigenvalues of symmetric matrices
58693290	michael i mandel + daniel p w ellis	A probability model for interaural phase difference
808A6976	kari torkkola	Blind separation of delayed sources based on information maximization
7B57E03E	e n khobotov	Modification of the extra-gradient method for solving variational inequalities and certain optimization problems
78B72FFD	barbara a smith + russell greiner + ralph w wilkerson	A correction to the algorithm in Reiter's theory of diagnosis
7E8B37FF	david forsyth + tamara l berg	Animals on the Web
7D8C5D0B	alison l gibbs	Bounding Convergence Time of the Gibbs Sampler in Bayesian Image Restoration
5BD9AFC8	judea pearl	Probabilistic reasoning in intelligent systems
76F10176	z j koles	The quantitative extraction and topographic mapping of the abnormal components in the clinical EEG
7EF4F950	uri t eden + emery n brown + john p donoghue + matthew r fellows + wilson truccolo	A Point Process Framework for Relating Neural Spiking Activity to Spiking History, Neural Ensemble, and Extrinsic Covariate Effects
5E3031E9	zoubin ghahramani + edward snelson	Local and global sparse Gaussian process approximations.
8047E5F3	tomas lozanoperez + cheng yang	Image database retrieval with multiple-instance learning techniques
7FA2D138	serge belongie + thomas leung + jianbo shi + jitendra malik	Contour and Texture Analysis for Image Segmentation
7EC2C5E3	daphne koller + simon tong	Support vector machine active learning with applications to text classification
7D11BE51	jacob feldman	An algebra of human concept learning
7B710F4D	james m bower + david beeman	The Book of Genesis: Exploring Realistic Neural Models with the General Neural Simulation System
806E86B0	geoffrey j gordon + nicholas roy	Exponential Family PCA for Belief Compression in POMDPs
7EDADCE0	ernst niebur + christof koch + laurent itti	A model of saliency-based visual attention for rapid scene analysis
028BE359	aleksandar lazarevic + jaideep srivastava + aysel ozgur + levent ertoz + vipin kumar	A Comparative Study of Anomaly Detection Schemes in Network Intrusion Detection
80E1180A	roland schneider + paolo viviani	A developmental study of the relationship between geometry and kinematics in drawing movements.
7D8D17CD	peter buhlmann + sara van de geer + lukas meier	The group lasso for logistic regression
76D96D39	richard h r hahnloser + christoph albrecht rasche	Silicon synaptic depression
78750365	edward w wild + o l mangasarian	Multiple Instance Classification via Successive Linear Programming
798F60FA	richard c yee + satinder singh	An Upper Bound on the Loss from Approximate Optimal-Value Functions
77FAF6FC	laurent amsaleg + bjorn jonsson + herwig lejsek + fridrik h asmundsson	Scalability of local image descriptors: a comparative study
7D6478A8	yoram singer + shai shalevshwartz + ofer dekel	The Forgetron: A kernel-based perceptron on a fixed budget
5DDE7E0F	thorsten joachims	Making large-scale support vector machine learning practical
8165E44E	mehryar mohri + corinna cortes	On Transductive Regression
7E0591E9	dietmar bauer	Comparing the CCA Subspace Method to Pseudo Maximum Likelihood Methods in the case of No Exogenous Inputs
7A01BD04	yoav freund + yoram singer + robert e schapire + manfred k warmuth	Using and combining predictors that specialize
7D83E401	gianfranco doretto + ying nian wu + stefano soatto + payam saisan	Dynamic texture recognition
75EBC877	riitta salmelin + riitta hari	Human cortical oscillations: a neuromagnetic view through the skull
03E5A70C	manfred k warmuth + nick littlestone	Relating Data Compression and Learnability
7F681EBA	peter sterling + steve herr + karl klug + kareem m ahmad + stan schein	Cell density ratios in a foveal patch in macaque retina
06A3895B	steffen l lauritzen + kristian g olesen + finn verner jensen	Bayesian Updating in Causal Probabilistic Networks by Local Computations
